Id,Description,Name,Category__c,Partner_Owner__c,Shipping_POC__c,Technical_POC__c
0011U000008D4kPQAS,,Aisin Group,End-User,0011U000007zcnLQAQ,,
0011U000008Dh2dQAC,,Nexty,Distributor,,,
0011U00001N9EUHQA3,,FFT,End-User,0011U00000pT9FAQA0,0031U00001covJXQAY,0031U00001covJXQAY
0011U000010Tr71QAC,,Toyota Tsusho Corporation,Distributor,,,
0011U0000184CbxQAE,,Buchanan Automation,Distributor,,,
0011U000010TqgQQAS,,JOHNAN,Distributor,,,
0011U000007zcnLQAQ,Distributor,Johnan Corp,Distributor,,0031U00001JhhxIQAR,0031U00001JhhxIQAR
0011U00001HTapHQAT,,Kantum Ushikata,Distributor,,,
0011U00001PONs4QAH,,Tokyo University,Research + Edu,0011U000007zcnLQAQ,,0031U00001JhhxIQAR
0011U000007zcdGQAQ,,Sony Electronics Inc,End-User,0011U000007zcnLQAQ,,
